70BCSV 	
// AQ6370B OPTICAL SPECTRUM ANALYZER //                 
25
"CTRWL",1064.000000
"SPAN",  15.000000
"START WL",1056.500000
"STOP WL",1071.500000
"WLFREQ", 0
"REFL",-17.3
"LSCL",10.0
"RESLN",0.020
"AVG",   1
"SMPLAUTO",      1
"SMPL",       3801
"SMPLINTVL",0.0039
"NORMAL"
"MEAS"
"LSUNT",0
"NMSKH","OFF"
"RESCOR",0
"RESPARM", 9025
"FREQPARM", 9025






1057.4079, -67.691
1057.4118, -67.664
1057.4158, -65.855
1057.4197, -66.086
1057.4237, -66.463
1057.4276, -66.292
1057.4316, -67.855
1057.4355, -66.753
1057.4395, -67.248
1057.4434, -67.250
1057.4474, -64.029
1057.4513, -75.548
1057.4553, -66.575
1057.4592, -67.805
1057.4632, -68.108
1057.4671, -72.707
1057.4711, -71.166
1057.4750, -67.176
1057.4789, -68.186
1057.4829, -67.053
1057.4868, -93.354
1057.4908, -65.921
1057.4947,-210.000
1057.4987, -67.162
1057.5026, -68.196
1057.5066, -67.910
1057.5105, -66.719
1057.5145, -67.384
1057.5184, -66.225
1057.5224, -66.459
1057.5263, -66.429
1057.5303, -67.512
1057.5342, -65.811
1057.5382, -65.138
1057.5421, -65.504
1057.5461, -66.418
1057.5500, -64.098
1057.5539, -65.055
1057.5579, -65.794
1057.5618, -67.045
1057.5658, -66.324
1057.5697, -64.803
1057.5737, -66.061
1057.5776, -66.804
1057.5816, -66.182
1057.5855, -64.767
1057.5895, -66.146
1057.5934, -68.361
1057.5974, -67.663
1057.6013, -67.494
1057.6053, -68.911
1057.6092, -65.723
1057.6132, -64.800
1057.6171, -67.339
1057.6211, -66.656
1057.6250, -66.736
1057.6289, -65.620
1057.6329, -64.475
1057.6368, -64.898
1057.6408, -64.384
1057.6447, -63.066
1057.6487, -61.696
1057.6526, -61.399
1057.6566, -61.731
1057.6605, -61.464
1057.6645, -61.926
1057.6684, -62.056
1057.6724, -62.382
1057.6763, -63.794
1057.6803, -64.746
1057.6842, -64.471
1057.6882, -65.786
1057.6921, -66.055
1057.6961, -69.963
1057.7000, -67.128
1057.7039, -67.243
1057.7079, -68.074
1057.7118, -67.892
1057.7158, -66.934
